[Thu Jun 18 17:50:26.188965 2020] [mpm_prefork:notice] [pid 23] AH00163: Apache/2.4.29 (Ubuntu) configured -- resuming normal operations
[Thu Jun 18 17:50:26.189180 2020] [core:notice] [pid 23] AH00094: Command line: '/usr/sbin/apache2'
[Fri Jun 19 14:12:42.028275 2020] [php7:warn] [pid 30] [client 172.19.0.1:52722] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:42.028438 2020] [php7:warn] [pid 30] [client 172.19.0.1:52722] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:42.028493 2020] [php7:warn] [pid 30] [client 172.19.0.1:52722] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:42.028541 2020] [php7:warn] [pid 30] [client 172.19.0.1:52722] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:42.028584 2020] [php7:notice] [pid 30] [client 172.19.0.1:52722] PHP Notice:  Undefined variable: conn in /var/www/html/index.php on line 49, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:42.028710 2020] [php7:error] [pid 30] [client 172.19.0.1:52722] PHP Fatal error:  Uncaught Error: Call to a member function query() on null in /var/www/html/index.php:49\nStack trace:\n#0 /var/www/html/index.php(42): login('username', 'password')\n#1 {main}\n  thrown in /var/www/html/index.php on line 49, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:14:55.900734 2020] [php7:notice] [pid 38] [client 172.19.0.1:52728] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:14:55.901525 2020] [php7:warn] [pid 38] [client 172.19.0.1:52728] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:14:55.901551 2020] [php7:warn] [pid 38] [client 172.19.0.1:52728] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:14:55.901559 2020] [php7:warn] [pid 38] [client 172.19.0.1:52728] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
